#,Nombre,Número de Catálogo,Colector(es),Reino,Phylum,Clase,Orden,Familia,Género,País,Departamento,Municipio,Localidad,Latitud,Longitud
1,Achatocarpus nigricans Triana,TULV17802,"A. Castaño N, W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,ACHATOCARPACEAE,Achatocarpus,Colombia,Valle del Cauca,Obando,"Obando Via San Isidro, finca Cristales","04°34'02.2""N","75°57'45.3""W"
2676,Epidendrum,TULV18017,E. Parra S.,Plantae,Magnoliophyta,Liliopsida,Asparagales,ORCHIDACEAE,Epidendrum,Colombia,Tolima,Cajamarca,"Alto de la línea, 20 km atrás del tunel, a la orilla de la carretera",Sin especificar,Sin especificar
2677,"Epidendrum fusagasugense E. Parra, Hágsater & L. Sanchez",TULV18015,E. Parra S.,Plantae,Magnoliophyta,Liliopsida,Asparagales,ORCHIDACEAE,Epidendrum,Colombia,Cundinamarca,Fusagasugá,Alto de fusacaten,Sin especificar,Sin especificar
2678,"Epidendrum luis-sanchezii Hágsater, E. Parra & E. Perez",TULV18016,E. Parra S.,Plantae,Magnoliophyta,Liliopsida,Asparagales,ORCHIDACEAE,Epidendrum,Colombia,Valle del Cauca,Palmira,Tenerife,Sin especificar,Sin especificar
2679,Arthrostylidium pubescens Rupr.,TULV8950,R. Liesner,Plantae,Magnoliophyta,Liliopsida,Poales,POACEAE,Arthrostylidium,Venezuela,Bolívar,Gran Sabana,PLANTAS DE VENEZUELA. Ca. 10 Km. SW of Karaurin Tepui at junction of Rio Karaurin and Rio Asadon (Rio Sanpa).,"05°19'00''N","61°03'00''W"
2680,Cybianthus,TULV15835,"W. Devia, J. Adarve & A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Ericales,PRIMULACEAE,Cybianthus,Colombia,Valle del Cauca,Restrepo,"Corregimiento Muñeco, Valle del Dorado, Finca Gilberto Aristizabal","03°51'16''N","76°26'44''W"
2681,Selaginella rosea Alston.,TULV18024,M. Avellaneda  C.,Plantae,Lycophyta,Lycopodiopsida,Sellaginellales,SELAGINELLACEAE,Selaginella,Colombia,Chocó,Nuquí,"Sector del Tigre Vía a Malambo, Bosque denso de terrazas bajas.",1127958N,0984552E
2682,Selaginella rosea Alston.,TULV18025,M. Avellaneda  C.,Plantae,Lycophyta,Lycopodiopsida,Sellaginellales,SELAGINELLACEAE,Selaginella,Colombia,Chocó,Nuquí,"Alto de copidijo, bosque denso de colinas altas.",1129544N,0984569E
2683,Selaginella rosea Alston.,TULV18030,M. Avellaneda  C.,Plantae,Lycophyta,Lycopodiopsida,Sellaginellales,SELAGINELLACEAE,Selaginella,Colombia,Chocó,Nuquí,"Salto del Humo, bosque denso de colinas altas.",1127450N,0988656E
2684,Siparuna,TULV13865,"W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento de Fenicia, Finca la Arizona, Familia Villa Lopez, Transecto 3. (500 m. * 2 m.)","04°03'11''N","76°24'08''W"
2685,Siparuna,TULV13894,"W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento de Fenicia, Finca La Cumbre, Vereda Miravalle","04°04'01""N","76°24'14""W"
2686,Siparuna,TULV13939,"W. Devia, C. M. Taylor, J. Adarve, J. P. Medina",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Corregieminto Cordoba, Vereda San Cipriano. Reserva Natural río Escalerete, Montaje parcelas permanentes de investigación, Parcela IND. Camino a casa-bocatoma","03°49'41''N","76°52'10''W"
2687,Siparuna,TULV14189,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento Portugal de Piedras. Reserva Natural de Liverpool, Transecto 8, Individuo 278.","03°59'48''N","76°24'56''W"
2688,Siparuna,TULV14190,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento Portugal de Piedras. Reserva Natural de Liverpool, Transecto 7, Individuo 245.","03°59'48''N","76°24'56''W"
2689,Siparuna,TULV14191,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento Portugal de Piedras. Reserva Natural de Liverpool, Transecto 6, Individuo 184.","03°59'48''N","76°24'56''W"
2690,Siparuna,TULV14192,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento Portugal de Piedras. Reserva Natural de Liverpool, Transecto 6, Individuo 177.","03°59'48''N","76°24'56''W"
2691,Siparuna,TULV14193,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento Portugal de Piedras. Reserva Natural de Liverpool, Transecto 1, Individuo 176.","03°59'48''N","76°24'56''W"
2692,Siparuna,TULV14605,"W. Devia, J. Adarve, J.P.Medina, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Chocó,San José del Palmar,"Las Amarillas, Finca la Florida, Km 24 vía el Cairo - Río Blanco","04°46'26""N","76°18'32""W"
2693,Siparuna,TULV14677,"W. Devia, J. Adarve, J.P.Medina, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Chocó,San José del Palmar,"Las Amarillas, Finca la Florida, Km 24 vía el Cairo - Río Blanco","04°46'26""N","76°18'32""W"
2694,Siparuna,TULV14818,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento Portugal de Piedras. Reserva Natural de Liverpool. A 500 m. del cruce Fenicia-Darien, vía Portugal de Piedras margen derecho de la carretera.","03°59'48''N","76°24'56''W"
2695,Siparuna,TULV14857,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento Portugal de Piedras. Reserva Natural de Liverpool. A 500 m. del cruce Fenicia-Darien, vía Portugal de Piedras margen derecho de la carretera.","03°59'48''N","76°24'56''W"
2696,Siparuna,TULV15116,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Vía La Judea - La Zulia, Vereda Los Alpes","04°07'00''N","76°22'48''W"
2697,Siparuna,TULV15884,"W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Risaralda,Santuario,"Vereda La Cumbre, Finca Chipre, Frente a la casa de Vidalio Ledezma","05°08'55''N","76°00'53''W"
2698,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV383,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Sevilla,Corregimiento Alto El Recreo,"04°16'00''N","75°55'00''W"
2699,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV1247,"J. Cuatrecasas, H. Cuadros",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Yumbo,"Vertiente Oriental, lomas con mucho matorral y restos de monte, entre Bitaco y Yumbo.",Sin especificar,Sin especificar
2700,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV1248,"J. Cuatrecasas, H. Cuadros",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Yumbo,"Vertiente Oriental, lomas con mucho matorral y restos de monte, entre Bitaco y Yumbo.",Sin especificar,Sin especificar
2701,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV1249,"J. Cuatrecasas, H. Cuadros",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Yumbo,"Vertiente Oriental, lomas con mucho matorral y restos de monte, entre Bitaco y Yumbo.",Sin especificar,Sin especificar
2702,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV1529,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Versalles,"Bocatoma Acueducto Mpal, Noroeste de Versalles, finca Maribel.","04°37'00''N","76°11'00''W"
2703,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV3467,P. Silverstone,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Sevilla,"Vía Sevilla-Barragan, a 20 Km. de Sevilla, área abierta.","04°16'00''N","75°55'00''W"
2704,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV3723,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Calima El Darien,"Corregimiento La Cristalina, Quebrada La Cristalina, desde el puente.","04°02'00''N","76°32'00''W"
2705,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV3882,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Yotoco,"Corregimiento Jiguales, Vereda El Jardín, finca Millán.","03°51'00''N","76°27'00''W"
2706,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV6569,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Calima El Darien,Hacienda Abraham Dominguez.,"03°50'00''N","76°31'00""W"
2707,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV7665,"W. Devia, R. Bernal, E. Linares",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Yotoco,Reserva Natural SW de Buga.,"03°52'30''N","76°26'09''W"
2708,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV8564,T. B. Croat,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Yotoco,"Cordillera Occidental, eastern slopes, along highway between Dapa and Loboguerrero at Parque Yotoco","03°52'00''N","76°22'00''W"
2709,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV14188,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Corregimiento Portugal de Piedras. Reserva Natural de Liverpool, Transecto 9, Individuo 299.","03°59'48''N","76°24'56''W"
2710,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV14823,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,Corregimiento Portugal de Piedras. Reserva Natural de Liverpool. Individuo Fuera del Transecto. Entrada a la casa vieja,"03°59'48''N","76°24'56''W"
2711,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV15112,"W. Devia, J. Adarve, Salonica Verde",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Vía La Judea - La Zulia, Vereda Los Alpes","04°07'00''N","76°22'48''W"
2712,Siparuna aspera (Ruiz & Pav.) A.DC.,TULV15136,"W. Devia, J. Adarve, Salonica Verde",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Riofrío,"Vía La Judea - La Zulia, Vereda Los Alpes","04°07'00''N","76°22'48''W"
2713,Siparuna conica S.S. Renner & Hausner,TULV4653,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Campamento El Chanco, Proyecto Calima III","03°54'00''N","76°37'00''W"
2714,Siparuna conica S.S. Renner & Hausner,TULV6989,"W. Devia, R. Bernal, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bendiciones, CVC, Proyecto hidroelectrico Calima lV.","03°45'00''N","76°58'00''W"
2715,Siparuna conica S.S. Renner & Hausner,TULV7030,"W. Devia, R. Bernal, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bendiciones, campamento CVC, vía a la Quebrada La Mina.","03°45'00''N","76°58'00''W"
2716,Siparuna conica S.S. Renner & Hausner,TULV7185,"W. Devia, R. Bernal, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Chancos, orilla rio Calima, campamento CVC.",Sin especificar,Sin especificar
2717,Siparuna conica S.S. Renner & Hausner,TULV7187,"W. Devia, R. Bernal, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Chancos, orilla río Calima, campamento CVC.",Sin especificar,Sin especificar
2718,Siparuna conica S.S. Renner & Hausner,TULV10988,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
2719,Siparuna conica S.S. Renner & Hausner,TULV10989,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
2720,Siparuna conica S.S. Renner & Hausner,TULV11841,"J. Smith, R. Bernal, X. Londoño, W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Calima El Darien,"Corregimiento Calima, sector el Chanco, trail leading from Campoalegre into area controlled by Corporacion Valle del Cauca, trail from last camp Across stream via cable cart, to right and down along stream,","04°00'00''N","76°40'00''W"
2721,Siparuna conica S.S. Renner & Hausner,TULV12422,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Choco. Montaje parcelas Permanentes Investigación","03°49'41''N","76°52'10''W"
2722,Siparuna cuspidata (Tul.) A.DC.,TULV10987,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Choco.","03°49'41''N","76°52'10''W"
2723,Siparuna echinata (Kunth) A. DC.,TULV1443,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Tuluá,"Corregimiento Barragan, finca La Florida, bosque alrededor de la casa, vía Barragán-Santa Lucia.","04°02'00""N","75°53'00""W"
2724,Siparuna gesnerioides (Kunth) A.DC.,TULV2391,A. Gentry,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Nariño,Ricaurte,"La Planada, Salazar, finca 7 Km. above Ricaurte, premontane wet forest","01°08'00''N","77°58'00''W"
2725,Siparuna grandiflora (Kunth) Perkins,TULV8826,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Nariño,Sin especificar,Sin especificar,Sin especificar,Sin especificar
2726,Siparuna laurifolia (Kunth) A. DC.,TULV1582,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Versalles,"A 3 Km. vía a Campo Alegre, bosque secundario.","04°35'00''N","76°13'00''W"
2727,Siparuna laurifolia (Kunth) A. DC.,TULV2976,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Sevilla,"Corregimiento Alto El Recreo, Hacienda La Esmeralda","04°16'00''N","75°55'00''W"
2728,Siparuna laurifolia (Kunth) A. DC.,TULV3033,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Sevilla,"Corregimiento Alto El Recreo, Hacienda La Esmeralda.","04°16'00''N","75°55'00''W"
2729,Siparuna laurifolia (Kunth) A. DC.,TULV3869,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Yotoco,"Corregimieno Jiguales, finca La Camelia.","03°51'00''N","76°27'00''W"
2730,Siparuna laurifolia (Kunth) A. DC.,TULV3883,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Yotoco,"Corregimiento Jiguales, Vereda El Jardín, finca Milan.","03°51'00''N","76°27'00''W"
2731,Siparuna laurifolia (Kunth) A. DC.,TULV3896,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Yotoco,"Corregimiento Jiguales, Vereda El Jardín, finca Milan.","03°51'00''N","76°27'00''W"
2732,Siparuna laurifolia (Kunth) A. DC.,TULV4248,P. Silverstone,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Calima El Darien,"Granja La Morena, carretera Darien-La Cristalina, a 8 Km. de la casa de INCIVA",Sin especificar,Sin especificar
2733,Siparuna laurifolia (Kunth) A. DC.,TULV4341,P. Silverstone,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Trujillo,"Vereda La Diadema, a 4.8 Km. de Venecia y 20 Km. de Trujillo.",Sin especificar,Sin especificar
2734,Siparuna laurifolia (Kunth) A. DC.,TULV4342,P. Silverstone,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Trujillo,"Vereda La Diadema, a 4.8 Km. de Venecia y 20 Km. de Trujillo.",Sin especificar,Sin especificar
2735,Siparuna laurifolia (Kunth) A. DC.,TULV4553,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Calima El Darien,"Vereda Río Bravo, Quebrada La Cristalina, El Pital, Proyecto Calima III.","03°55'00''N","76°33'00''W"
2736,Siparuna laurifolia (Kunth) A. DC.,TULV6589,"W. Devia, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Calima El Darien,"Corregimiento Madroñal, Finca de Villalobos",Sin especificar,Sin especificar
2737,Siparuna laurifolia (Kunth) A. DC.,TULV6658,"W. Devia, R. Bernal, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Tuluá,"Corregimiento Venus, finca El Paraiso.",Sin especificar,Sin especificar
2738,Siparuna laurifolia (Kunth) A. DC.,TULV11264,"K. S. Edwards, W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,San Pedro,"Road Buenos Aires-La Esmeralda, La Rubia, Montane forest.",Sin especificar,Sin especificar
2739,Siparuna lepidota (Kunth) A. DC.,TULV11450,"J. Betancur, A. Guzman, R. Lopez, S. V.",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Nariño,Barbacoas,"Corregimiento Altaquer, Vereda El Barro, Reserva Natural río Ñambí, Vertiente Occidental andinan, bosque pluvial premontano, primario, poco intervenido, margen derecha.","01°18'00''N","78°08'00''W"
2740,Siparuna thecaphora (Poepp. & Endl.) A.DC.,TULV125,I. Cabrera,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Amazonas,Puerto Nariño,"Río Loretoyaca, Puerto Nariño",Sin especificar,Sin especificar
2741,Siparuna,TULV15838,"W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Restrepo,"Corregimiento Muñeco, Valle del Dorado, Finca Gilberto Aristizabal","03°51'16''N","76°26'44''W"
2742,Siparuna,TULV16739,C. M. Taylor,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"On the SE side of Bahia Málaga, along the Quebrada El Morro from ca. 0.5 km downstream to ca. 1 km up stream from ""La Piscina."" Wet forest.","04°03'00""N","77°09'00""W"
2743,Siparuna,TULV16750,C. M. Taylor,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"On the SE side of Bahia Málaga, along the Quebrada El Morro from ca. 0.5 km downstream to ca. 1 km up stream from ""La Piscina."" Wet forest.","04°03'00""N","77°09'00""W"
2744,Siparuna,TULV16769,C. M. Taylor,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,"On the N side of Bahia Málaga, sector Mayordomo, in la Punta del Paisa and Mangle blanquito. Wet forest along the ocean and mangroves.","04°02'00""N","77°18'00""W"
2745,Siparuna,TULV16809,C. M. Taylor,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Buenaventura,On the N side of Bahia Málaga. Wet forest edges along mangrove fringe.,"04°02'00""N","77°18'00""W"
2746,Siparuna echinata (Kunth) A. DC.,TULV3219,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Tuluá,"Corregimiento Santa Lucia, finca San Luis, bosque en bocatoma acueducto.","03°56'00''N","75°56'00""W"
2747,Siparuna echinata (Kunth) A. DC.,TULV5553,"W. Devia, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Tuluá,"Corregimiento Santa Lucia, cañon Quebrada las Hermosas, vía finca Las Nieves.","03°56'00''N","75°56'00""W"
2748,Siparuna echinata (Kunth) A. DC.,TULV5688,"W. Devia, F. Prado",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Tuluá,"Corregimiento Santa Lucia, Hacienda La Cascada, Cerros del Japón.","03°56'00''N","75°56'00""W"
2749,Siparuna echinata (Kunth) A. DC.,TULV17025,T. Cano P.,Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Tuluá,Corregimiento de Barragán Vereda El Verdal Predio Madre Selva,Sin especificar,Sin especificar
2750,Siparuna laurifolia (Kunth) A. DC.,TULV16881,"W. Devia, J. Adarve, A. Cruz, A. Hernandez",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Tuluá,"Corregimiento San Lorenzo, Vereda Aguacate, Reserva Vaticano del Municipio de Tuluá","04°02'00""N","76°00'05.3''W"
2751,Siparuna,TULV16131,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Versalles,"Finca Sendero Ecológico, Aguas Líndas",Sin especificar,Sin especificar
2752,Siparuna,TULV16137,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Laurales,SIPARUNACEAE,Siparuna,Colombia,Valle del Cauca,Versalles,"Finca Sendero Ecológico, Aguas Líndas",Sin especificar,Sin especificar
2753,Sin especificar,TULV14133,"J. P. Medina, W. Devia, J. Adarve, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Crossosomatales,STAPHYLEACEAE,Sin especificar,Colombia,Valle del Cauca,Riofrío,"Corregimiento Portugal de Piedras. Reserva Natural de Liverpool, Transecto 8, Individuo 276","03°59'48''N","76°24'56''W"
2754,Tectaria draconoptera (D.C. Eaton) Copel.,TULV8623,T. B. Croat,Plantae,Equisetopsida,Polypodiidae,Polypodiales,TECTARIACEAE,Tectaria,Colombia,Chocó,Istmina,"Along road between Pueblo Rico (Risaralda) and Istmina (Chocó), 1 Km. W of Guarato and río Guarato at Risaralda and Chocó border, along small stream.","05°21'00''N","76°11'00''W"
2755,Sin especificar,TULV15119,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Violales,VIOLACEAE,Sin especificar,Colombia,Valle del Cauca,Riofrío,"Vía La Judea - La Zulia, Vereda Los Alpes","04°07'00''N","76°22'48''W"
2756,Drimys granadensis L.f.,TULV17843,A. Castaño N.,Plantae,Magnoliophyta,Magnoliopsida,Canellales,WINTERACEAE,Drimys,Colombia,Valle del Cauca,Tuluá,Quebrada La Valenzuela,"04°01'15.16''N","76°10'01.74''W"
2757,Philodendron,TULV4196,P. Silverstone,Plantae,Magnoliophyta,Liliopsida,Alismatales,ARACEAE,Philodendron,Colombia,Valle del Cauca,Cartago,"Modin-Villa Rodas, cima Montechara.",Sin especificar,Sin especificar
2758,Philodendron,TULV7558,"W. Devia, R. Bernal, E. Linares",Plantae,Magnoliophyta,Liliopsida,Alismatales,ARACEAE,Philodendron,Colombia,Valle del Cauca,Buenaventura,"Corregimiento San Francisco, Vereda Calle Larga, río Naya.","03°08'00''N","77°20'00''W"
2759,Philodendron,TULV7622,"W. Devia, R. Bernal, E. Linares",Plantae,Magnoliophyta,Liliopsida,Alismatales,ARACEAE,Philodendron,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Puerto Merizalde, Isla Ají, Caño El Zancudo, río Naya.","03°17'00''N","77°27'00''W"
2760,Philodendron,TULV8814,"W. Devia, R. Bernal, E. Linares",Plantae,Magnoliophyta,Liliopsida,Alismatales,ARACEAE,Philodendron,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Puerto Merizalde, Isla Ají, Caño El Zancudo, río Naya.","03°17'00''N","77°27'00''W"
